tau,freq
73.8,3.7324518774979435e-07
73.9,3.7324518774979435e-07
74.0,7.464903754995887e-07
74.1,3.7324518774979435e-07
74.4,3.7324518774979435e-07
74.9,3.7324518774979435e-07
75.2,3.7324518774979435e-07
75.5,3.7324518774979435e-07
75.9,3.7324518774979435e-07
76.1,3.7324518774979435e-07
76.2,3.7324518774979435e-07
76.5,3.7324518774979435e-07
76.8,3.7324518774979435e-07
77.1,3.7324518774979435e-07
77.3,7.464903754995887e-07
77.4,3.7324518774979435e-07
77.5,3.7324518774979435e-07
77.8,7.464903754995887e-07
77.9,3.7324518774979435e-07
78.2,3.7324518774979435e-07
78.5,3.7324518774979435e-07
78.6,7.464903754995887e-07
78.9,3.7324518774979435e-07
79.2,3.7324518774979435e-07
79.3,1.119735563249383e-06
79.4,3.7324518774979435e-07
79.5,7.464903754995887e-07
80.1,3.7324518774979435e-07
80.2,7.464903754995887e-07
80.3,3.7324518774979435e-07
80.4,3.7324518774979435e-07
80.5,3.7324518774979435e-07
80.6,3.7324518774979435e-07
80.8,3.7324518774979435e-07
80.9,3.7324518774979435e-07
81.1,3.7324518774979435e-07
81.2,7.464903754995887e-07
81.3,3.7324518774979435e-07
81.5,7.464903754995887e-07
81.6,7.464903754995887e-07
81.7,7.464903754995887e-07
81.8,7.464903754995887e-07
81.9,3.7324518774979435e-07
82.1,1.119735563249383e-06
82.4,3.7324518774979435e-07
82.5,7.464903754995887e-07
82.6,7.464903754995887e-07
83.2,3.7324518774979435e-07
83.7,3.7324518774979435e-07
83.9,3.7324518774979435e-07
84.2,7.464903754995887e-07
84.3,3.7324518774979435e-07
84.7,3.7324518774979435e-07
84.8,3.7324518774979435e-07
84.9,3.7324518774979435e-07
85.0,3.7324518774979435e-07
85.1,1.119735563249383e-06
85.3,7.464903754995887e-07
85.7,7.464903754995887e-07
85.8,3.7324518774979435e-07
85.9,3.7324518774979435e-07
86.2,3.7324518774979435e-07
86.6,3.7324518774979435e-07
86.7,3.7324518774979435e-07
87.1,3.7324518774979435e-07
87.2,3.7324518774979435e-07
87.3,3.7324518774979435e-07
87.5,3.7324518774979435e-07
87.7,3.7324518774979435e-07
87.8,3.7324518774979435e-07
88.2,3.7324518774979435e-07
88.3,3.7324518774979435e-07
88.4,3.7324518774979435e-07
88.6,7.464903754995887e-07
88.7,3.7324518774979435e-07
88.8,7.464903754995887e-07
89.0,7.464903754995887e-07
89.2,3.7324518774979435e-07
89.4,3.7324518774979435e-07
89.5,3.7324518774979435e-07
89.6,7.464903754995887e-07
89.7,3.7324518774979435e-07
89.8,7.464903754995887e-07
90.5,3.7324518774979435e-07
90.8,7.464903754995887e-07
90.9,3.7324518774979435e-07
91.0,3.7324518774979435e-07
91.2,3.7324518774979435e-07
91.4,3.7324518774979435e-07
91.7,3.7324518774979435e-07
91.8,3.7324518774979435e-07
92.4,3.7324518774979435e-07
92.7,3.7324518774979435e-07
92.8,3.7324518774979435e-07
92.9,3.7324518774979435e-07
93.2,3.7324518774979435e-07
94.3,7.464903754995887e-07
94.5,3.7324518774979435e-07
94.7,3.7324518774979435e-07
94.8,3.7324518774979435e-07
95.0,3.7324518774979435e-07
95.1,3.7324518774979435e-07
95.3,3.7324518774979435e-07
95.6,3.7324518774979435e-07
95.7,7.464903754995887e-07
96.2,3.7324518774979435e-07
96.3,7.464903754995887e-07
96.8,3.7324518774979435e-07
96.9,3.7324518774979435e-07
97.1,3.7324518774979435e-07
97.2,3.7324518774979435e-07
97.3,7.464903754995887e-07
97.5,3.7324518774979435e-07
97.9,3.7324518774979435e-07
98.0,3.7324518774979435e-07
98.1,7.464903754995887e-07
98.2,1.119735563249383e-06
98.3,3.7324518774979435e-07
98.4,1.4929807509991774e-06
98.6,3.7324518774979435e-07
98.9,7.464903754995887e-07
99.1,3.7324518774979435e-07
99.3,7.464903754995887e-07
99.4,3.7324518774979435e-07
99.6,3.7324518774979435e-07
99.7,3.7324518774979435e-07
100.0,3.7324518774979435e-07
100.1,3.7324518774979435e-07
100.2,3.7324518774979435e-07
100.3,7.464903754995887e-07
100.4,3.7324518774979435e-07
100.6,3.7324518774979435e-07
100.8,3.7324518774979435e-07
100.9,3.7324518774979435e-07
101.0,3.7324518774979435e-07
101.1,3.7324518774979435e-07
101.3,1.119735563249383e-06
101.5,3.7324518774979435e-07
101.8,3.7324518774979435e-07
101.9,3.7324518774979435e-07
102.1,7.464903754995887e-07
102.2,3.7324518774979435e-07
102.3,3.7324518774979435e-07
102.4,7.464903754995887e-07
102.8,3.7324518774979435e-07
102.9,7.464903754995887e-07
103.1,1.119735563249383e-06
103.3,3.7324518774979435e-07
103.4,3.7324518774979435e-07
103.5,3.7324518774979435e-07
103.9,3.7324518774979435e-07
104.0,3.7324518774979435e-07
104.3,3.7324518774979435e-07
104.4,3.7324518774979435e-07
104.6,3.7324518774979435e-07
104.7,3.7324518774979435e-07
105.3,3.7324518774979435e-07
105.4,3.7324518774979435e-07
105.6,3.7324518774979435e-07
105.7,3.7324518774979435e-07
105.9,3.7324518774979435e-07
106.1,3.7324518774979435e-07
106.2,7.464903754995887e-07
106.3,3.7324518774979435e-07
106.5,3.7324518774979435e-07
